index,MAR,year
1.0,2793758,2011
5.0,1774890,2011
3.0,645130,2011
2.0,262354,2011
4.0,88775,2011
1.0,2626737,2012
5.0,1766656,2012
3.0,791213,2012
2.0,245718,2012
4.0,87863,2012
1.0,2471051,2013
5.0,1760555,2013
3.0,924101,2013
2.0,231452,2013
4.0,87048,2013
1.0,2324521,2014
5.0,1754549,2014
3.0,1045351,2014
2.0,217436,2014
4.0,86210,2014
1.0,2189508,2015
5.0,1748777,2015
3.0,1154319,2015
2.0,204623,2015
4.0,85323,2015
1.0,2063276,2016
5.0,1742592,2016
3.0,1252407,2016
2.0,192405,2016
4.0,84466,2016
1.0,1946425,2017
5.0,1736183,2017
3.0,1340331,2017
2.0,181007,2017
4.0,83574,2017
1.0,1836622,2018
5.0,1729679,2018
3.0,1420067,2018
2.0,170285,2018
4.0,82680,2018
1.0,1734967,2019
5.0,1723177,2019
3.0,1491556,2019
2.0,160433,2019
4.0,81840,2019
5.0,1716632,2020
1.0,1639720,2020
3.0,1555927,2020
2.0,151285,2020
4.0,80954,2020
